Country,Feature,Coefficient,Percentage_Effect,Train_Adj_R2,Test_MSE
Armenia,Female Deaths ,0,,-2.75,0.001235547
Armenia,"Crude Death Rate (deaths per 1,000 population)",0,,-2.75,0.001235547
Armenia,Male Life Expectancy at Age 15 (years),0,,-2.75,0.001235547
Armenia,Female Life Expectancy at Age 15 (years),0,,-2.75,0.001235547
Armenia,"Infant Mortality Rate (infant deaths per 1,000 live births)",0,,-2.75,0.001235547
Armenia,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,,-2.75,0.001235547
Armenia,Net Number of Migrants ,0,,-2.75,0.001235547
Armenia,"Net Migration Rate (per 1,000 population)",0,,-2.75,0.001235547
Antigua and Barbuda,"Rate of Natural Change (per 1,000 population)",0.273580394,37.81818163,0.998449361,0.000389964
Antigua and Barbuda,"Population Density, as of 1 July (persons per square km)",-0.13086005,18.08934138,0.998449361,0.000389964
Antigua and Barbuda,"Infant Mortality Rate (infant deaths per 1,000 live births)",-0.078822637,10.89598844,0.998449361,0.000389964
Antigua and Barbuda,Female Deaths ,0.066162061,9.145863083,0.998449361,0.000389964
Antigua and Barbuda,Female Life Expectancy at Age 15 (years),0.0339147,4.68817323,0.998449361,0.000389964
Antigua and Barbuda,Population Growth Rate (percentage),0.028651132,3.960567919,0.998449361,0.000389964
Antigua and Barbuda,"Crude Death Rate (deaths per 1,000 population)",-0.025331933,3.501740877,0.998449361,0.000389964
Antigua and Barbuda,Births by women aged 15 to 19 ,0.020062235,2.773288107,0.998449361,0.000389964
Antigua and Barbuda,Male Life Expectancy at Age 15 (years),0.019735305,2.728095225,0.998449361,0.000389964
Antigua and Barbuda,"Median Age, as of 1 July (years)",-0.01544956,2.13565843,0.998449361,0.000389964
Antigua and Barbuda,Mean Age Childbearing (years),-0.011621008,1.606421333,0.998449361,0.000389964
Antigua and Barbuda,Male Deaths ,0.011009887,1.52194358,0.998449361,0.000389964
Antigua and Barbuda,"Population Sex Ratio, as of 1 July (males per 100 females)",-0.005080969,0.702363996,0.998449361,0.000389964
Antigua and Barbuda,Population Annual Doubling Time (years),0.003127827,0.432372772,0.998449361,0.000389964
Antigua and Barbuda,Net Number of Migrants ,0,0,0.998449361,0.000389964
Antigua and Barbuda,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,0,0.998449361,0.000389964
Antigua and Barbuda,DailyIncome,0,0,0.998449361,0.000389964
Antigua and Barbuda,Sex Ratio at Birth (males per 100 female births),0,0,0.998449361,0.000389964
Antigua and Barbuda,female_years_schooling,0,0,0.998449361,0.000389964
Antigua and Barbuda,employment_rate_15_24,0,0,0.998449361,0.000389964
Antigua and Barbuda,EmploymentRate15,0,0,0.998449361,0.000389964
Antigua and Barbuda,"Net Migration Rate (per 1,000 population)",0,0,0.998449361,0.000389964
Australia,"Rate of Natural Change (per 1,000 population)",0.099033511,18.87387796,0.998610963,1.33308E-05
Australia,"Median Age, as of 1 July (years)",0.07145064,13.6171145,0.998610963,1.33308E-05
Australia,"Population Density, as of 1 July (persons per square km)",-0.060339841,11.49961049,0.998610963,1.33308E-05
Australia,Male Life Expectancy at Age 15 (years),0.046382743,8.839656666,0.998610963,1.33308E-05
Australia,"Crude Death Rate (deaths per 1,000 population)",0.040551889,7.728408231,0.998610963,1.33308E-05
Australia,Mean Age Childbearing (years),0.032671482,6.226554603,0.998610963,1.33308E-05
Australia,Population Growth Rate (percentage),0.031439367,5.991737214,0.998610963,1.33308E-05
Australia,Net Number of Migrants ,-0.023900676,4.555008038,0.998610963,1.33308E-05
Australia,Female Life Expectancy at Age 15 (years),0.019361171,3.689865981,0.998610963,1.33308E-05
Australia,Births by women aged 15 to 19 ,0.016554777,3.155021316,0.998610963,1.33308E-05
Australia,Male Deaths ,-0.013849496,2.639446994,0.998610963,1.33308E-05
Australia,EmploymentRate15,0.01266375,2.413466655,0.998610963,1.33308E-05
Australia,employment_rate_15_24,-0.011259469,2.145837645,0.998610963,1.33308E-05
Australia,DailyIncome,0.011062642,2.108326258,0.998610963,1.33308E-05
Australia,"Infant Mortality Rate (infant deaths per 1,000 live births)",-0.009232471,1.759530971,0.998610963,1.33308E-05
Australia,"Net Migration Rate (per 1,000 population)",-0.007098042,1.352749894,0.998610963,1.33308E-05
Australia,Female Deaths ,-0.006733782,1.283329094,0.998610963,1.33308E-05
Australia,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0.00464576,0.885392303,0.998610963,1.33308E-05
Australia,Population Annual Doubling Time (years),-0.001970097,0.37546254,0.998610963,1.33308E-05
Australia,"Population Sex Ratio, as of 1 July (males per 100 females)",-0.001865374,0.355504341,0.998610963,1.33308E-05
Australia,Sex Ratio at Birth (males per 100 female births),0.001371015,0.261289108,0.998610963,1.33308E-05
Australia,female_years_schooling,0.001274049,0.242809197,0.998610963,1.33308E-05
Austria,"Median Age, as of 1 July (years)",0.064733977,34.97304646,0.95952474,0.000255634
Austria,"Rate of Natural Change (per 1,000 population)",0.052486231,28.35610439,0.95952474,0.000255634
Austria,"Crude Death Rate (deaths per 1,000 population)",0.016053588,8.673078828,0.95952474,0.000255634
Austria,Female Deaths ,0.013542531,7.316460272,0.95952474,0.000255634
Austria,female_years_schooling,0.00919231,4.966218862,0.95952474,0.000255634
Austria,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",-0.007934056,4.286437031,0.95952474,0.000255634
Austria,Births by women aged 15 to 19 ,0.006530494,3.528151633,0.95952474,0.000255634
Austria,Population Growth Rate (percentage),0.004628324,2.500489007,0.95952474,0.000255634
Austria,Sex Ratio at Birth (males per 100 female births),0.003501443,1.891682571,0.95952474,0.000255634
Austria,Population Annual Doubling Time (years),0.002383652,1.287787239,0.95952474,0.000255634
Austria,employment_rate_15_24,-0.001567727,0.846976893,0.95952474,0.000255634
Austria,"Population Density, as of 1 July (persons per square km)",-0.00137242,0.741460885,0.95952474,0.000255634
Austria,EmploymentRate15,0.001082565,0.584864401,0.95952474,0.000255634
Austria,DailyIncome,-8.74E-05,0.047241527,0.95952474,0.000255634
Austria,Female Life Expectancy at Age 15 (years),0,0,0.95952474,0.000255634
Austria,Net Number of Migrants ,0,0,0.95952474,0.000255634
Austria,"Infant Mortality Rate (infant deaths per 1,000 live births)",0,0,0.95952474,0.000255634
Austria,Mean Age Childbearing (years),0,0,0.95952474,0.000255634
Austria,Male Life Expectancy at Age 15 (years),0,0,0.95952474,0.000255634
Austria,Male Deaths ,0,0,0.95952474,0.000255634
Austria,"Population Sex Ratio, as of 1 July (males per 100 females)",0,0,0.95952474,0.000255634
Austria,"Net Migration Rate (per 1,000 population)",0,0,0.95952474,0.000255634
Azerbaijan,"Rate of Natural Change (per 1,000 population)",0.258584995,60.00203927,0.970003333,0.000382128
Azerbaijan,Sex Ratio at Birth (males per 100 female births),-0.102233342,23.72221547,0.970003333,0.000382128
Azerbaijan,Male Deaths ,0.035666248,8.275993091,0.970003333,0.000382128
Azerbaijan,"Crude Death Rate (deaths per 1,000 population)",0.030632958,7.108068861,0.970003333,0.000382128
Azerbaijan,employment_rate_15_24,0.003842801,0.891683306,0.970003333,0.000382128
Azerbaijan,DailyIncome,0,0,0.970003333,0.000382128
Azerbaijan,Net Number of Migrants ,0,0,0.970003333,0.000382128
Azerbaijan,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,0,0.970003333,0.000382128
Azerbaijan,"Infant Mortality Rate (infant deaths per 1,000 live births)",0,0,0.970003333,0.000382128
Azerbaijan,Female Life Expectancy at Age 15 (years),0,0,0.970003333,0.000382128
Azerbaijan,Male Life Expectancy at Age 15 (years),0,0,0.970003333,0.000382128
Azerbaijan,Female Deaths ,0,0,0.970003333,0.000382128
Azerbaijan,Mean Age Childbearing (years),0,0,0.970003333,0.000382128
Azerbaijan,female_years_schooling,0,0,0.970003333,0.000382128
Azerbaijan,Births by women aged 15 to 19 ,0,0,0.970003333,0.000382128
Azerbaijan,Population Annual Doubling Time (years),0,0,0.970003333,0.000382128
Azerbaijan,Population Growth Rate (percentage),0,0,0.970003333,0.000382128
Azerbaijan,"Median Age, as of 1 July (years)",0,0,0.970003333,0.000382128
Azerbaijan,"Population Sex Ratio, as of 1 July (males per 100 females)",0,0,0.970003333,0.000382128
Azerbaijan,"Population Density, as of 1 July (persons per square km)",0,0,0.970003333,0.000382128
Azerbaijan,EmploymentRate15,0,0,0.970003333,0.000382128
Azerbaijan,"Net Migration Rate (per 1,000 population)",0,0,0.970003333,0.000382128
Burundi,"Population Density, as of 1 July (persons per square km)",-0.422432188,28.43561061,0.99896221,0.000524595
Burundi,"Population Sex Ratio, as of 1 July (males per 100 females)",-0.17832883,12.00403118,0.99896221,0.000524595
Burundi,"Rate of Natural Change (per 1,000 population)",0.153172548,10.31066065,0.99896221,0.000524595
Burundi,Male Life Expectancy at Age 15 (years),0.13812953,9.298054515,0.99896221,0.000524595
Burundi,Male Deaths ,0.110534147,7.440498251,0.99896221,0.000524595
Burundi,"Crude Death Rate (deaths per 1,000 population)",0.104799137,7.054451626,0.99896221,0.000524595
Burundi,Births by women aged 15 to 19 ,-0.082441595,5.549475501,0.99896221,0.000524595
Burundi,employment_rate_15_24,0.067758193,4.561076653,0.99896221,0.000524595
Burundi,EmploymentRate15,-0.066254799,4.459877126,0.99896221,0.000524595
Burundi,"Net Migration Rate (per 1,000 population)",0.062386796,4.199506304,0.99896221,0.000524595
Burundi,DailyIncome,-0.033001861,2.221488088,0.99896221,0.000524595
Burundi,Female Deaths ,0.017769408,1.196130364,0.99896221,0.000524595
Burundi,Population Growth Rate (percentage),0.017466697,1.175753677,0.99896221,0.000524595
Burundi,"Infant Mortality Rate (infant deaths per 1,000 live births)",0.016402448,1.104114798,0.99896221,0.000524595
Burundi,female_years_schooling,0.014696353,0.989270654,0.99896221,0.000524595
Burundi,Sex Ratio at Birth (males per 100 female births),0,0,0.99896221,0.000524595
Burundi,Population Annual Doubling Time (years),0,0,0.99896221,0.000524595
Burundi,"Median Age, as of 1 July (years)",0,0,0.99896221,0.000524595
Burundi,Female Life Expectancy at Age 15 (years),0,0,0.99896221,0.000524595
Burundi,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,0,0.99896221,0.000524595
Burundi,Net Number of Migrants ,0,0,0.99896221,0.000524595
Burundi,Mean Age Childbearing (years),0,0,0.99896221,0.000524595
Belgium,"Median Age, as of 1 July (years)",0.114741672,35.56984111,0.991953819,0.002243954
Belgium,"Rate of Natural Change (per 1,000 population)",0.081866032,25.37841498,0.991953819,0.002243954
Belgium,"Crude Death Rate (deaths per 1,000 population)",0.037938088,11.76078186,0.991953819,0.002243954
Belgium,"Population Sex Ratio, as of 1 July (males per 100 females)",-0.025768665,7.988268895,0.991953819,0.002243954
Belgium,Births by women aged 15 to 19 ,0.019532434,6.055041484,0.991953819,0.002243954
Belgium,Male Deaths ,0.011284328,3.498134071,0.991953819,0.002243954
Belgium,"Infant Mortality Rate (infant deaths per 1,000 live births)",-0.010228163,3.170723556,0.991953819,0.002243954
Belgium,Male Life Expectancy at Age 15 (years),-0.007288782,2.259517604,0.991953819,0.002243954
Belgium,EmploymentRate15,0.004404989,1.365543672,0.991953819,0.002243954
Belgium,"Net Migration Rate (per 1,000 population)",0.003273532,1.014792663,0.991953819,0.002243954
Belgium,Population Growth Rate (percentage),0.001865646,0.578348962,0.991953819,0.002243954
Belgium,Sex Ratio at Birth (males per 100 female births),0.001834373,0.568654456,0.991953819,0.002243954
Belgium,DailyIncome,-0.001553047,0.481443631,0.991953819,0.002243954
Belgium,employment_rate_15_24,-0.000726696,0.225275224,0.991953819,0.002243954
Belgium,Population Annual Doubling Time (years),0.000274897,0.085217824,0.991953819,0.002243954
Belgium,female_years_schooling,0,0,0.991953819,0.002243954
Belgium,Female Deaths ,0,0,0.991953819,0.002243954
Belgium,"Population Density, as of 1 July (persons per square km)",0,0,0.991953819,0.002243954
Belgium,Female Life Expectancy at Age 15 (years),0,0,0.991953819,0.002243954
Belgium,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,0,0.991953819,0.002243954
Belgium,Net Number of Migrants ,0,0,0.991953819,0.002243954
Belgium,Mean Age Childbearing (years),0,0,0.991953819,0.002243954
Benin,"Rate of Natural Change (per 1,000 population)",0.151474123,25.92053524,0.999131764,8.3634E-05
Benin,"Crude Death Rate (deaths per 1,000 population)",0.151299421,25.89063995,0.999131764,8.3634E-05
Benin,Mean Age Childbearing (years),0.08137081,13.92432511,0.999131764,8.3634E-05
Benin,Male Life Expectancy at Age 15 (years),-0.058276023,9.97230209,0.999131764,8.3634E-05
Benin,"Median Age, as of 1 July (years)",-0.047804888,8.180461863,0.999131764,8.3634E-05
Benin,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0.039399338,6.74208847,0.999131764,8.3634E-05
Benin,Population Annual Doubling Time (years),-0.032086468,5.490696352,0.999131764,8.3634E-05
Benin,Female Life Expectancy at Age 15 (years),0.013761981,2.354975971,0.999131764,8.3634E-05
Benin,Sex Ratio at Birth (males per 100 female births),0.007292435,1.247895101,0.999131764,8.3634E-05
Benin,"Infant Mortality Rate (infant deaths per 1,000 live births)",0.001613352,0.276079851,0.999131764,8.3634E-05
Benin,Male Deaths ,0,0,0.999131764,8.3634E-05
Benin,Net Number of Migrants ,0,0,0.999131764,8.3634E-05
Benin,Female Deaths ,0,0,0.999131764,8.3634E-05
Benin,DailyIncome,0,0,0.999131764,8.3634E-05
Benin,female_years_schooling,0,0,0.999131764,8.3634E-05
Benin,Births by women aged 15 to 19 ,0,0,0.999131764,8.3634E-05
Benin,Population Growth Rate (percentage),0,0,0.999131764,8.3634E-05
Benin,"Population Sex Ratio, as of 1 July (males per 100 females)",0,0,0.999131764,8.3634E-05
Benin,"Population Density, as of 1 July (persons per square km)",0,0,0.999131764,8.3634E-05
Benin,employment_rate_15_24,0,0,0.999131764,8.3634E-05
Benin,EmploymentRate15,0,0,0.999131764,8.3634E-05
Benin,"Net Migration Rate (per 1,000 population)",0,0,0.999131764,8.3634E-05
Burkina Faso,"Population Density, as of 1 July (persons per square km)",-0.483351808,64.31192962,0.995057961,0.000882782
Burkina Faso,"Rate of Natural Change (per 1,000 population)",0.109602179,14.58301701,0.995057961,0.000882782
Burkina Faso,"Median Age, as of 1 July (years)",-0.083103224,11.05722287,0.995057961,0.000882782
Burkina Faso,DailyIncome,-0.068579064,9.124724142,0.995057961,0.000882782
Burkina Faso,Male Deaths ,-0.006937828,0.923106359,0.995057961,0.000882782
Burkina Faso,Net Number of Migrants ,0,0,0.995057961,0.000882782
Burkina Faso,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,0,0.995057961,0.000882782
Burkina Faso,"Infant Mortality Rate (infant deaths per 1,000 live births)",0,0,0.995057961,0.000882782
Burkina Faso,Female Life Expectancy at Age 15 (years),0,0,0.995057961,0.000882782
Burkina Faso,Male Life Expectancy at Age 15 (years),0,0,0.995057961,0.000882782
Burkina Faso,"Crude Death Rate (deaths per 1,000 population)",0,0,0.995057961,0.000882782
Burkina Faso,Female Deaths ,0,0,0.995057961,0.000882782
Burkina Faso,Mean Age Childbearing (years),0,0,0.995057961,0.000882782
Burkina Faso,Sex Ratio at Birth (males per 100 female births),0,0,0.995057961,0.000882782
Burkina Faso,female_years_schooling,0,0,0.995057961,0.000882782
Burkina Faso,Births by women aged 15 to 19 ,0,0,0.995057961,0.000882782
Burkina Faso,Population Annual Doubling Time (years),0,0,0.995057961,0.000882782
Burkina Faso,Population Growth Rate (percentage),0,0,0.995057961,0.000882782
Burkina Faso,"Population Sex Ratio, as of 1 July (males per 100 females)",0,0,0.995057961,0.000882782
Burkina Faso,employment_rate_15_24,0,0,0.995057961,0.000882782
Burkina Faso,EmploymentRate15,0,0,0.995057961,0.000882782
Burkina Faso,"Net Migration Rate (per 1,000 population)",0,0,0.995057961,0.000882782
